VTYPE	ID	SEMI	L_PAREN	R_PAREN	L_BRACKET	R_BRACKET	SEPARATING	ASSIGNMENT_OP	if	else	while	STRING	addsub	multdiv	SIGNED_INTEGER	COMPARISON_OP	return	$
s4	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	r3
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	acc
s4	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	r3
s4	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	r3
#	s7	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	r1
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	r2
#	#	s8	s9	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
r4	r4	#	#	#	#	r4	#	#	r4	#	r4	#	#	#	#	#	r4	r4
s11	#	#	#	r7	#	#	#	#	#	#	#	#	#	#	#	#	#	#
#	#	#	#	s12	#	#	#	#	#	#	#	#	#	#	#	#	#	#
#	s13	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
#	#	#	#	#	s14	#	#	#	#	#	#	#	#	#	#	#	#	#
#	#	#	#	r9	#	#	s16	#	#	#	#	#	#	#	#	#	#	#
s23	s20	#	#	#	#	r11	#	#	s21	#	s22	#	#	#	#	#	r11	#
#	#	#	#	r6	#	#	#	#	#	#	#	#	#	#	#	#	#	#
s24	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	s26	#
s23	s20	#	#	#	#	r11	#	#	s21	#	s22	#	#	#	#	#	r11	#
r12	r12	#	#	#	#	r12	#	#	r12	#	r12	#	#	#	#	#	r12	#
#	#	#	#	#	#	#	#	s28	#	#	#	#	#	#	#	#	#	#
#	#	#	s29	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
#	#	#	s30	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
#	s31	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
#	s32	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#
#	#	#	#	#	#	s33	#	#	#	#	#	#	#	#	#	#	#	#
#	s36	#	s35	#	#	#	#	#	#	#	#	#	#	#	s37	#	#	#
#	#	#	#	#	#	r10	#	#	#	#	#	#	#	#	#	#	r10	#
